name|url
"
 1.1. อัตราป่วยจากพิษสารกำจัดศัตรูพืช"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=f16421e617aed29602f9f09d951cce68&id=46914a29aebb9e55230cc408f59f2d39
"
 1.2. อัตราส่วนของผู้ป่วยจากพิษสารกำจัดศัตรูพืชต่อจำนวนครั้งของการไปรับบริการ"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=envocc/format4.php&cat_id=f16421e617aed29602f9f09d951cce68&id=dd73ac05d57a5d245c7e3b9981b05e90
"
 1.3. อัตราป่วยจากพิษสารกำจัดศัตรูพืช จำแนกรายกลุ่มอายุ"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=envocc/format2.php&cat_id=f16421e617aed29602f9f09d951cce68&id=261cb247ebbca35ea8e0069e3bf49ccc
"
 1.4. จำนวนผู้ป่วยจากพิษสารกำจัดศัตรูพืชจำแนกรายอาชีพ"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=envocc/format3.php&cat_id=f16421e617aed29602f9f09d951cce68&id=cac78eaf72c55d2a64ab5968b5765ead
"
 2.1. อัตราป่วยจากพิษโลหะหนักรวมทุกสาเหตุ รายกลุ่มอายุ"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=envocc/format2.php&cat_id=f16421e617aed29602f9f09d951cce68&id=0c2c7387ae62001a7f45931d36169497
"
 2.2. อัตราป่วยจากพิษโลหะหนักจากการทำงาน"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=envocc/format1.php&cat_id=f16421e617aed29602f9f09d951cce68&id=b686b5f964b5c7acbd37153f312c8934
"
 2.3. อัตราป่วยจากพิษโลหะหนักจากการทำงาน จำแนกรายกลุ่มอายุ"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=envocc/format2.php&cat_id=f16421e617aed29602f9f09d951cce68&id=a61ec8ac18273ee82c3bb6e240723f2b
"
 2.4. อัตราป่วยจากพิษโลหะหนักจากการทำงาน จำแนกรายอาชีพ"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=envocc/format3.php&cat_id=f16421e617aed29602f9f09d951cce68&id=534482bca54ec5700ac1f01a12c19ac0
"
 3.1. อัตราป่วยจากพิษสารตะกั่วรวมทุกสาเหตุ รายกลุ่มอายุ"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=envocc/format2.php&cat_id=f16421e617aed29602f9f09d951cce68&id=3b4f3df4d17920d6ab4e94e57bf90a0f
"
 3.2. อัตราป่วยจากพิษสารตะกั่วจากการทำงาน"|https://hdcservice.moph.go.th/hdc/reports/report.php?source=envocc/format1.php&cat_id=f16421e617aed29602f9f09d951cce68&id=d491033a05ebe9d5e953585e26003ed5
